Station_ID,Latitude,Longitude,FirstYear,LastYear,Station_Name
ACW00011604,17.1167,-61.7833,1949,1949,ST JOHNS COOLIDGE FLD         
ACW00011647,17.1333,-61.7833,1961,1961,ST JOHNS                      
AE000041196,25.333,55.517,1944,2025,SHARJAH INTER. AIRP           
AEM00041194,25.255,55.364,1983,2025,DUBAI INTL                    
AEM00041217,24.433,54.651,1983,2025,ABU DHABI INTL                
AEM00041218,24.262,55.609,1994,2025,AL AIN INTL                   
AF000040930,35.317,69.017,1974,1992,NORTH-SALANG                  
AFM00040938,34.21,62.228,1973,2020,HERAT                         
AFM00040948,34.566,69.212,1967,2021,KABUL INTL                    
AFM00040990,31.5,65.85,1973,2020,KANDAHAR AIRPORT              
AG000060390,36.7167,3.25,1940,2025,ALGER-DAR EL BEIDA            
AG000060590,30.5667,2.8667,1940,2025,EL-GOLEA                      
AG000060611,28.05,9.6331,1958,2025,IN-AMENAS                     
AG000060680,22.8,5.4331,1940,2004,TAMANRASSET                   
AGE00135039,35.7297,0.65,1852,1966,ORAN-HOPITAL MILITAIRE        
AGE00147704,36.97,7.79,1909,1937,ANNABA-CAP DE GARDE           
AGE00147705,36.78,3.07,1887,1938,ALGIERS-VILLE/UNIVERSITE      
AGE00147706,36.8,3.03,1893,1920,ALGIERS-BOUZAREAH             
AGE00147707,36.8,3.04,1878,1879,ALGIERS-CAP CAXINE            
AGE00147708,36.72,4.05,1886,2025,TIZI OUZOU                    
AGE00147709,36.63,4.2,1884,1938,FORT NATIONAL                 
AGE00147710,36.75,5.1,1909,2009,BEJAIA-BOUGIE (PORT)          
AGE00147711,36.3697,6.62,1886,1938,CONSTANTINE                   
AGE00147712,36.17,1.34,1887,1938,ORLEANSVILLE (CHLEF)          
AGE00147713,36.18,5.4,1878,1938,SETIF                         
AGE00147714,35.77,0.8,1896,1938,ORAN-CAP FALCON               
AGE00147715,35.42,8.1197,1886,1938,TEBESSA                       
AGE00147716,35.1,-1.85,1878,2025,NEMOURS (GHAZAOUET)           
AGE00147717,35.2,0.63,1880,1938,SIDI-BEL-ABBES                
AGE00147718,34.85,5.72,1880,2025,BISKRA                        
AGE00147719,33.7997,2.89,1888,2025,LAGHOUAT                      
AGE00147720,33.68,1.0,1888,1938,GERYVILLE (EL-BAYADH)         
AGE00147780,37.08,6.47,1931,1938,SKIKDA-CAP BOUGAROUNI         
AGE00147794,36.78,5.1,1926,1938,BEJAIA-CAP CARBON             
AGM00060351,36.795,5.874,1981,2025,JIJEL                         
AGM00060353,36.817,5.883,2001,2013,JIJEL-PORT                    
AGM00060355,36.933,6.95,1959,2024,SKIKDA                        
AGM00060360,36.822,7.809,1957,2025,ANNABA                        
AGM00060367,36.9,8.45,1984,2014,EL-KALA                       
AGM00060369,36.767,3.1,1984,2013,ALGER-PORT                    
AGM00060387,36.917,3.95,1996,2004,DELLYS                        
AGM00060402,36.712,5.07,1973,2025,SOUMMAM                       
AGM00060403,36.467,7.467,1995,2025,GUELMA                        
AGM00060405,36.5,7.717,2002,2004,BOUCHEGOUF                    
AGM00060410,36.5,1.333,1957,2004,TENES                         
AGM00060415,36.317,3.533,2003,2024,AIN-BESSAM                    
AGM00060417,36.383,3.883,1995,2024,BOUIRA                        
AGM00060419,36.276,6.62,1961,2025,MOHAMED BOUDIAF INTL          
AGM00060421,35.867,7.117,1995,2025,OUM EL BOUAGHI                
AGM00060423,36.283,7.967,1995,2025,SOUK AHRAS                    
AGM00060425,36.213,1.332,1957,2025,ECH CHELIFF                   
AGM00060430,36.3,2.233,1957,2025,MILIANA                       
AGM00060437,36.283,2.733,1995,2025,MEDEA                         
AGM00060444,36.067,4.767,1979,2025,BORDJ-BOU-ARRERIDJ            
AGM00060445,36.178,5.324,1959,2025,SETIF AIN ARNAT               
AGM00060452,35.817,-0.267,1985,2025,ARZEW                         
AGM00060457,35.883,0.117,1976,2025,MOSTAGANEM                    
AGM00060461,35.7,-0.65,1995,2025,ORAN-PORT                     
AGM00060467,35.667,4.5,1981,2025,M'SILA                        
AGM00060468,35.55,6.183,1973,2025,BATNA                         
AGM00060471,35.333,5.333,2003,2024,BARIKA                        
AGM00060475,35.432,8.121,1973,2025,CHEIKH LARBI TEBESSI          
AGM00060476,35.467,7.083,1996,2025,KHENCHELLA                    
AGM00060490,35.624,-0.621,1957,2025,ES SENIA                      
AGM00060506,35.6,0.3,1981,2008,MASCARA-MATEMORE              
AGM00060507,35.208,0.147,1983,2025,GHRISS                        
AGM00060511,35.341,1.463,1983,2025,BOU CHEKIF                    
AGM00060514,35.167,2.317,1995,2025,KSAR CHELLALA                 
AGM00060515,35.333,4.206,1984,2025,BOU SAADA                     
AGM00060518,35.3,-1.35,1976,2022,BENI-SAF                      
AGM00060520,35.2,-0.617,1995,2025,SIDI-BEL-ABBES                
AGM00060522,34.82,-1.77,1976,2025,MAGHNIA                       
AGM00060531,35.017,-1.45,1981,2025,ZENATA                        
AGM00060535,34.683,3.25,1973,2025,DJELFA/TLETSI                 
AGM00060536,34.867,0.15,1981,2025,SAIDA                         
AGM00060540,34.15,0.067,1981,2016,EL-KHEITER                    
AGM00060549,33.536,-0.242,1980,2025,MECHERIA                      
AGM00060550,33.667,1.0,1973,2025,EL-BAYADH                     
AGM00060555,33.068,6.089,1958,2025,SIDI MAHDI                    
AGM00060557,33.267,-0.3,1995,2025,NAAMA                         
AGM00060559,33.511,6.777,1965,2025,GUEMAR                        
AGM00060560,32.767,-0.6,1981,2025,AIN-SEFRA                     
AGM00060563,32.933,3.283,2001,2004,HASSIR'MEL                    
AGM00060566,32.384,3.794,1965,2025,NOUMERAT                      
AGM00060571,31.646,-2.27,1957,2025,BECHAR                        
AGM00060580,31.917,5.413,1957,2025,OUARGLA                       
AGM00060581,31.673,6.14,1965,2025,OUED IRARA                    
AGM00060602,30.133,-2.167,1973,2025,BENI-ABBES                    
AGM00060603,29.717,6.7,2007,2025,RHOURD NOUSS                  
AGM00060607,29.237,0.276,1966,2025,TIMIMOUN                      
AGM00060620,27.838,-0.186,1965,2025,TOUAT CHEIKH SIDI MOHAMED BEL 
AGM00060630,27.233,2.5,1965,2004,IN-SALAH                      
AGM00060640,26.724,8.623,1966,2025,ILLIZI TAKHAMALT              
AGM00060656,27.7,-8.167,1957,2025,TINDOUF                       
AGM00060670,24.293,9.452,1965,2025,TISKA                         
